80 1000
1500 200
644 3502 58 96

Coordinates
1       5.3518       1.4286            0
2       5.6131       1.9176            0
3            5            1            0
4            5            1            0
5       4.7307       1.5796            0
6       5.1367       2.1253            0
7       5.6092       1.6096      0.72478
8       5.2897       1.1175       0.7683
9       4.8371       1.9393          0.5
10          4.5          1.5          0.5
11       5.7741       2.4482            0
12       4.5714      0.64825            0
13       5.8277       2.1526      0.69869
14       4.8825      0.71026       0.7683
15        5.049        2.451          0.5
16       4.1668       1.0129            0
17       3.9973       1.7004      0.19702
18       3.9973       1.7004      0.19702
19       4.2123       2.0698          0.5
20        5.095       2.1998       1.1433
21       4.0607       1.1629          0.5
22       4.8024       1.6123       1.3135
23       4.2063       2.3552            0
24       5.7876       1.6602       1.4959
25       4.3904      0.39077      0.72478
26       5.9267       2.7844      0.60069
27       5.1441       3.0225            0
28       5.8284            3            0
29       4.0824      0.38687            0
30       4.3877       1.1976       1.3135
31       5.1213            3          0.5
32       3.7296       1.5816          0.5
33        4.305       2.7093          0.5
34       5.2426       2.7174       1.2374
35       5.2135       0.7865        1.708
36        3.549      0.95096          0.5
37       3.3971        1.691            0
38       3.8623      0.90597         1.26
39       3.4247       0.7243            0
40       3.8474      0.17232      0.69869
41       5.9341       3.3108      0.69068
42        4.696      0.37369       1.6853
43       5.7741       3.5518            0
44       3.5518      0.22592            0
45        5.049        3.549          0.5
46        4.309       3.3971            0
47       3.2553       2.3209          0.5
48       4.7346       1.2654       2.2591
49       3.0091       1.4118          0.5
50       4.4117       3.5848          0.5
51       5.3703       2.4144        2.198
52       6.1173       3.0441       1.6359
53       3.2523       2.6926            0
54            3      0.87868          0.5
55       5.2086       3.5391       1.3066
56       3.2231      0.77048       1.1328
57       3.3321     0.084088      0.60153
58       4.1755       0.8529       2.2316
59       5.8187       3.8829      0.70912
60       5.6554       1.0642       2.5893
61       3.5919    -0.012327       1.3662
62       4.9746       4.0554            0
63       5.6131       4.0824            0
64            3      0.17157            0
65       4.8371       4.0607          0.5
66        6.186       2.3009       2.4513
67        5.055      0.42517       2.6357
68       4.9587       4.1097       1.1887
69        2.451      0.95096          0.5
70       2.6852      0.76061       1.2429
71       2.3552       1.7937            0
72       2.3501      0.85744            0
73       3.2483       3.5995          0.5
